"","Group.1","Group.2","x"
"127",1516,"BURKE",0.0340780426762155
"128",1617,"BURKE",0.0156310660545664
"129",1718,"BURKE",0.0351705963119548
"130",1920,"BURKE",0.00687278848250071
"131",2021,"BURKE",0.00743116756497381
"132",2122,"BURKE",0.0258794741725873
"133",1011,"CABARRUS",0.0222964362541073
"134",1112,"CABARRUS",0.0120618400517897
"135",1213,"CABARRUS",0.0249575951854723
"136",1314,"CABARRUS",0.0154913009170419
"137",1415,"CABARRUS",0.0303786661778161
"138",1516,"CABARRUS",0.0165517666936595
"139",1617,"CABARRUS",0.0178513201906728
"140",1718,"CABARRUS",0.0252513812742766
"141",1920,"CABARRUS",0.0215019051661676
"142",2021,"CABARRUS",0.00398375237946525
"143",2122,"CABARRUS",0.014066955778592
"144",1011,"CALDWELL",0.0358791195473353
"145",1112,"CALDWELL",0.0276691282573636
"146",1213,"CALDWELL",0.0269143884315584
"147",1314,"CALDWELL",0.0232225300092336
"148",1415,"CALDWELL",0.00529787131728879
"149",1516,"CALDWELL",0.0167506105006105
"150",1617,"CALDWELL",0.0354950752126129
"151",1718,"CALDWELL",0.0230796223124331
"152",1920,"CALDWELL",0.0221824951777782
"153",2021,"CALDWELL",0.0216527963700444
"154",2122,"CALDWELL",0.0240482386647585
"155",1011,"CAMDEN",0
"156",1112,"CAMDEN",0
"157",1213,"CAMDEN",0.00978260869565217
"158",1314,"CAMDEN",0
"159",1415,"CAMDEN",0.0418973791066814
"160",1516,"CAMDEN",0.0494949494949495
"161",1617,"CAMDEN",0.0492610837438424
"162",1718,"CAMDEN",0.0257142857142857
"163",1920,"CAMDEN",0
"164",2021,"CAMDEN",0.0657894736842105
"165",2122,"CAMDEN",0
"166",1011,"CARTERET",0.0451848394704167
"167",1112,"CARTERET",0.0428391053391053
"168",1213,"CARTERET",0.021566270145789
"169",1314,"CARTERET",0.0129175503508724
"170",1415,"CARTERET",0.0340022811027061
"171",1516,"CARTERET",0.0392599128024552
"172",1617,"CARTERET",0.0259754836303933
"173",1718,"CARTERET",0.0290055639221236
"174",1920,"CARTERET",0.00806426119942196
"175",2021,"CARTERET",0.038402440712013
"176",2122,"CARTERET",0.0244429970740967
"177",1011,"CASWELL",0.037285499469277
"178",1112,"CASWELL",0.0555232762129314
"179",1213,"CASWELL",0.0843671218043077
"180",1314,"CASWELL",0.00425627240143369
"181",1415,"CASWELL",0.0429962834807125
"182",1516,"CASWELL",0.033983106737013
"183",1617,"CASWELL",0.0267456424172842
"184",1718,"CASWELL",0.0340186495899337
"185",1920,"CASWELL",0
"186",2021,"CASWELL",0.017090395480226
"187",2122,"CASWELL",0.114273693610152
"188",1011,"CATAWBA",0.0705433256817859
"189",1112,"CATAWBA",0.0208755593763319
"190",1213,"CATAWBA",0.0461127424642981
"191",1314,"CATAWBA",0.038101458392406
"192",1415,"CATAWBA",0.0423944224033101
"193",1516,"CATAWBA",0.058402231278932
"194",1617,"CATAWBA",0.0544876823921983
"195",1718,"CATAWBA",0.0374549007881704
"196",1920,"CATAWBA",0.0129295693725839
"197",2021,"CATAWBA",0.0337403475332084
"198",2122,"CATAWBA",0.0255291203762144
"199",1011,"CHATHAM",0.00164313534566699
"200",1112,"CHATHAM",0.0406701963876685
"201",1213,"CHATHAM",0.0229197797332448
"202",1314,"CHATHAM",0.00596766979745703
"203",1415,"CHATHAM",0.0492775584633017
"204",1516,"CHATHAM",0.0177056277056277
"205",1617,"CHATHAM",0
"206",1718,"CHATHAM",0.0189261842487649
"207",1920,"CHATHAM",0.0115345835854003
"208",2021,"CHATHAM",0.0130476999635878
"209",2122,"CHATHAM",0.0396221322537112
"210",1011,"CHEROKEE",0.0395452298566485
"211",1112,"CHEROKEE",0.0533670033670034
"212",1213,"CHEROKEE",0.0526137197358767
"213",1314,"CHEROKEE",0.0193460440268951
"214",1415,"CHEROKEE",0.0397066326530612
"215",1516,"CHEROKEE",0.0494720965309201
"216",1617,"CHEROKEE",0.0455494505494506
"217",1718,"CHEROKEE",0.0967432070417145
"218",1920,"CHEROKEE",0.041143763886778
"219",2021,"CHEROKEE",0.0523516015953505
"220",2122,"CHEROKEE",0.016841628959276
"221",1011,"CHOWAN",0.00602536997885835
"222",1112,"CHOWAN",0.0118604651162791
"223",1213,"CHOWAN",0
"224",1314,"CHOWAN",0
"225",1415,"CHOWAN",0
"226",1516,"CHOWAN",0
"227",1617,"CHOWAN",0.0246023329798515
"228",1718,"CHOWAN",0.0289489422142483
"229",1920,"CHOWAN",0
"230",2021,"CHOWAN",0
"231",2122,"CHOWAN",0
"232",1011,"CLAY",0.145555555555556
"233",1112,"CLAY",0.0317647058823529
"234",1213,"CLAY",0.0732600732600733
"235",1314,"CLAY",0
"236",1415,"CLAY",0
"237",1516,"CLAY",0.098310291858679
"238",1617,"CLAY",0.0255102040816327
"239",1718,"CLAY",0.194152923538231
"240",1920,"CLAY",0.0659455128205128
"241",2021,"CLAY",0
